name,apartments.comUrl,real_url,pmCompanyLogo,chatbot
The Kontour at Kessler Park,https://www.apartments.com/the-kontour-at-kessler-park-dallas-tx/nsegdln/,http://www.thekontour.com/,,
The Wilson Building,https://www.apartments.com/the-wilson-building-dallas-tx/ds22cnh/,https://www.wilsondallas.com/,Brookfield Properties Multifamily Llc,
Preston Heights Apartments,https://www.apartments.com/preston-heights-apartments-dallas-tx/0hjc640/,http://www.liveprestonheights.com/,The Medve Group Inc,
Broadstone Knox District,https://www.apartments.com/broadstone-knox-district-dallas-tx/yzhfjev/,https://broadstoneknoxdistrict.com/,Greystar Real Estate Partners,
The Briscoe,https://www.apartments.com/the-briscoe-dallas-tx/yzje8zr/,http://livethebriscoe.com/,Madera Companies,
The Statler Residences,https://www.apartments.com/the-statler-residences-dallas-tx/wcbs7bj/,http://www.statlerresidences.com/?utm_knock=a,,Knockbot
Essence at North Dallas,https://www.apartments.com/essence-at-north-dallas-dallas-tx/3z14q8g/,https://www.essencenorthdallas.com/?utm_knock=a,Caf Capital Partners,Knockbot
Allure,https://www.apartments.com/allure-dallas-tx/2lkzvfb/,https://www.allurenorthdallas.com/,Caf Capital Partners,Knockbot
The Saxony Apartments,https://www.apartments.com/the-saxony-apartments-dallas-tx/00rs8f1/,https://www.rentcafe.com/apartments/tx/dallas/the-saxony-apartments/index.aspx?utm_knock=a,Slosburg Company,Knockbot
The Lake Lofts,https://www.apartments.com/the-lake-lofts-dallas-tx/9rkpjf5/,https://www.thelakeloftsapts.com/,Winstar Properties Llc,
The Hampton on Jupiter,https://www.apartments.com/the-hampton-on-jupiter-dallas-tx/wfmq62h/,http://www.hamptononjupiter.com/?utm_knock=a,Sentinel Peak Capital Partners,Knockbot
Villas Del Tesoro Apartments,https://www.apartments.com/villas-del-tesoro-apartments-dallas-tx/dcxjfwj/,https://www.villasdeltesoro.com/home#utm_source=Apts.com Click Website link&utm_medium=Apts.com Click Website link&utm_campaign=Apts.com Click Website link,Lurin Capital,Realpage
Forest Ridge Apartments,https://www.apartments.com/forest-ridge-apartments-dallas-tx/81wqv50/,https://www.forestridgedallas.com/?utm_knock=a,Sentinel Peak Capital Partners,Knockbot
The Beckham,https://www.apartments.com/the-beckham-dallas-tx/x2wnsyn/,N/A,Indio Management,
Jefferson EastBranch,https://www.apartments.com/jefferson-eastbranch-farmers-branch-tx/fl0yrft/,https://www.jeffersoneastbranch.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=diamondplus&UTM_Knock=apr,Zrs Management,LeaseHawk
Mercer 1900,https://www.apartments.com/mercer-1900-farmers-branch-tx/wgr52vh/,http://www.bellropermountain.com/?utm_source=Costar&utm_medium=ILS,Bell Partners Inc,
Cedar at the Branch,https://www.apartments.com/cedar-at-the-branch-dallas-tx/hs643q2/,http://www.liveatcedar.com/,S2 Capital Llc,
Arrive on University,https://www.apartments.com/arrive-on-university-dallas-tx/9j3zrf4/,https://www.arriveonuniversity.com/switch_cls[id]/63820/,Fpa Multifamily Llc,N/A
The Christopher,https://www.apartments.com/the-christopher-dallas-tx/m2r338j/,https://thechristopherdallas.com/,Lincoln Property Company,
The Village Drey,https://www.apartments.com/the-village-drey-dallas-tx/mr33pqk/,https://www.thevillagedrey.com/,Lincoln Property Company,N/A
M-Line Tower,https://www.apartments.com/m-line-tower-dallas-tx/01lrth1/,https://www.mlinetowerapartmentsdallas.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=diamond&UTM_Knock=apr,Zrs Management,Rentgrata
Slate At Cole,https://www.apartments.com/slate-at-cole-dallas-tx/8sgfn12/,https://www.slateatcole.com/?utm_knock=a,Knightvest Management,Knockbot
Brady,https://www.apartments.com/brady-dallas-tx/s8n8zg6/,http://www.liveatbrady.com/,Jlb Partners Lp,
The Herschel,https://www.apartments.com/the-herschel-dallas-tx/gq7b5jw/,https://www.liveherschel.com/?ilm=costar,Greystar Real Estate Partners,Realpage
3700M,https://www.apartments.com/3700m-dallas-tx/dsvnq6h/,https://www.3700m.com/,Brookfield Properties Multifamily Llc,
Aster,https://www.apartments.com/aster-dallas-tx/w69hzzk/,N/A,Toll Brothers Inc,
Vidorra,https://www.apartments.com/vidorra-dallas-tx/5mlgvfq/,https://www.vidorramckinneyave.com/,Rpm,BetterBot
Rienzi at Turtle Creek,https://www.apartments.com/rienzi-at-turtle-creek-dallas-tx/p20z2qv/,https://www.rienziatturtlecreek.com/?utm_knock=a,Carter Haston Real Estate Services Inc,Knockbot
Carlisle and Vine,https://www.apartments.com/carlisle-and-vine-dallas-tx/81ypqf3/,https://carlisleandvineapartments.com/,Lincoln Property Company,PERQ
2929 Wycliff,https://www.apartments.com/2929-wycliff-dallas-tx/kqer10c/,https://www.2929wycliff.com/?ilm=costar,Greystar Real Estate Partners,
The Monterey by Windsor,https://www.apartments.com/the-monterey-by-windsor-dallas-tx/eng23gp/,http://www.themontereybywindsor.com/,Gid Investment Advisors Llc,text us
The Drakestone,https://www.apartments.com/the-drakestone-dallas-tx/zf77n7x/,http://www.thedrakestone.com/?utm_source=Apartments.com&utm_medium=ILS,Pinnacle Property Management Services Llc,
Uptown Tower,https://www.apartments.com/uptown-tower-dallas-tx/kewvzcc/,https://urldefense.com/v3/__https://www.uptowntowerdallas.com?utm_source=costar&utm_medium=referral&utm_campaign=apts_com__;!!Fx0U7os!dsu1E3ITRIQFfcy956A36fB3-K2FQB6mgF6E885XR0fhdwqQB2pubneSMgs2EdQeqw$,Lincoln Property Company,
MONDRIAN CITYPLACE,https://www.apartments.com/mondrian-cityplace-dallas-tx/lh6dm3g/,https://www.livemondriandallas.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=diamond&UTM_Knock=apr,Zrs Management,Rentgrata
Gables McKinney Ave,https://www.apartments.com/gables-mckinney-ave-dallas-tx/0j00zr3/,https://www.gables.com/communities/texas/dallas/gables-mckinney-ave/?utm_knock=a,Clarion Partners,
The Renaissance at Preston Hollow,https://www.apartments.com/the-renaissance-at-preston-hollow-dallas-tx/vb37e9g/,https://www.therenaissanceatprestonhollow.com/?utm_knock=a,The Finger Companies,Knockbot
ALARA Uptown,https://www.apartments.com/alara-uptown-dallas-tx/y75m9kr/,https://www.alarauptown.com/,Greystar Real Estate Partners,
Ambrose,https://www.apartments.com/ambrose-dallas-tx/dt5nhhj/,https://www.ambroseliving.com/?ilm=costar,Greystar Real Estate Partners,
La Cima Newport Condos,https://www.apartments.com/la-cima-newport-condos-dallas-tx/9lq8jx6/,http://www.newportdallas.com/,,
IMT Prestonwood,https://www.apartments.com/imt-prestonwood-dallas-tx/kvrh35c/,https://imtresidential.com/properties/imt-prestonwood?utm_source=costar&utm_medium=ilslink,Imt Residential,text us
Lenox Maplewood,https://www.apartments.com/lenox-maplewood-dallas-tx/dt8jj4k/,https://lenoxmaplewood.com/?utm_source=costar&utm_medium=listing,Kairoi Residential,My Showing
Manchester State Thomas,https://www.apartments.com/manchester-state-thomas-dallas-tx/5nfb39p/,https://www.manchesterstatethomas.com/?ilm=costar,Greystar Real Estate Partners,Realpage
The Gabriella,https://www.apartments.com/the-gabriella-dallas-tx/0n7sw11/,https://www.thegabrielladallas.com/?switch_cls[id]=64181,Greystar Real Estate Partners,
Cirque,https://www.apartments.com/cirque-dallas-tx/dqfbqel/,http://www.cirquedallas.com/,Lincoln Property Company,
L2 Uptown,https://www.apartments.com/l2-uptown-dallas-tx/4f3bbkl/,https://connorgroup.com/apartments-dallas-tx/l2-uptown/?utm_source=listing&utm_campaign=apartments,The Connor Group,
Nove at Knox,https://www.apartments.com/nove-at-knox-dallas-tx/7e4cp1y/,http://www.noveatknox.com/?utm_knock=a,Southern Land Company,Knockbot
St. James,https://www.apartments.com/st-james-dallas-tx/dgprvrk/,https://www.liveatstjames.com/?utm_knock=a,Knightvest Management,PERQ
Gables Park 17,https://www.apartments.com/gables-park-17-dallas-tx/x94k3wp/,https://www.gables.com/communities/texas/dallas/gables-park-17/?utm_knock=a,Clarion Partners,PERQ
Encore Swiss Ave,https://www.apartments.com/encore-swiss-ave-dallas-tx/pj8ezwt/,https://encoreswissave.com/,Greystar Real Estate Partners,Realpage
Routh Street Flats,https://www.apartments.com/routh-street-flats-dallas-tx/6l3fc0r/,https://www.routhstreetflats.com/switch_cls[id]/63942/,,N/A
The Drake,https://www.apartments.com/the-drake-dallas-tx/3tyfegd/,https://drakewhiterock.com/?utm_knock=costar,,Knockbot
The Reserve at North Dallas,https://www.apartments.com/the-reserve-at-north-dallas-dallas-tx/tsxsctb/,https://www.seniorlifestyle.com/property/texas/the-reserve-at-north-dallas/?utm_source=apartments.com,Senior Lifestyle Corporation,
MAA Heights,https://www.apartments.com/maa-heights-dallas-tx/xxh7tfm/,https://www.maac.com/texas/dallas/maa-heights/?utm_medium=ils&utm_source=costar&utm_campaign=listing,Mid America Apartment Communities Inc,
The Standard,https://www.apartments.com/the-standard-dallas-tx/535zb9p/,https://www.thestandardliving.com/,Greystar Real Estate Partners,
Oakwood Residence Dallas Uptown,https://www.apartments.com/oakwood-residence-dallas-uptown-dallas-tx/dv0gq9j/,https://oakwooddallasuptown.com/?utm_source=Apartments.com&utm_medium=ILS&utm_campaign=PaidListingAd,Oakwood Worldwide,
The Victor,https://www.apartments.com/the-victor-dallas-tx/qnh9spz/,https://thevictordallas.com/,Hines,BetterBot
Estates On Frankford,https://www.apartments.com/estates-on-frankford-dallas-tx/j5dxm66/,https://www.rentanapt.com/estatesonfrankford?utm_knock=a,Frankel Family Trust,Knockbot
Domain at Midtown Park,https://www.apartments.com/domain-at-midtown-park-dallas-tx/009yqk2/,https://www.domainatmidtownpark.com/?utm_source=Apartments.com&utm_medium=ad&utm_campaign=referral,Bh Management Services Llc,text us
Essence on Maple,https://www.apartments.com/essence-on-maple-dallas-tx/6l9gbbt/,https://alexanmaple.com/,Lincoln Property Company,
Fitzhugh Urban Flats,https://www.apartments.com/fitzhugh-urban-flats-dallas-tx/f3787lv/,https://www.fitzhughurbanflats.com/?utm_knock=a,Knightvest Management,Knockbot
Windsor West Lemmon,https://www.apartments.com/windsor-west-lemmon-dallas-tx/15q9yl6/,http://www.windsorwestlemmon.com/,Gid Investment Advisors Llc,PERQ
The Atwood at Ellison,https://www.apartments.com/the-atwood-at-ellison-dallas-tx/8hk1rn2/,https://www.theatwooddallastx.com/?utm_knock=a,Carter Haston Real Estate Services Inc,PERQ
Arpeggio Apartments,https://www.apartments.com/arpeggio-apartments-dallas-tx/ffr4r5s/,https://texas.weidner.com/apartments/tx/dallas/arpeggio-apartments/index.aspx?rcstdid=OA%3d%3d-BV9Q1qoZWPo%3d,Weidner Property Management Llc,text us
The Laurel Preston Hollow,https://www.apartments.com/the-laurel-preston-hollow-dallas-tx/rv72mm1/,https://www.laurelprestonhollow.com/?utm_knock=costar,Rpm,Knockbot
SkyHouse Dallas,https://www.apartments.com/skyhouse-dallas-dallas-tx/ypzcl6r/,https://www.simpsonpropertygroup.com/apartments/dallas-texas/skyhouse-dallas-victory-park-downtown?vrurl=apartments.com,Simpson Housing,text us
The Austin at Trinity Green,https://www.apartments.com/the-austin-at-trinity-green-dallas-tx/b887v79/,https://www.austintrinitygreen.com/?utm_source=Apartments.com&utm_medium=referral&utm_campaign=gold&UTM_Knock=apr,Beachwold Residential,Knockbot
Galleries at Park Lane,https://www.apartments.com/galleries-at-park-lane-dallas-tx/ewwylzn/,https://galleriesatparklane.com/?utm_knock=a,Northwood Investors Llc,Knockbot
Ross & Peak,https://www.apartments.com/ross-peak-dallas-tx/gw1vrvz/,https://www.rossandpeak.com/,Rangewater Real Estate,
MAA Katy Trail,https://www.apartments.com/maa-katy-trail-dallas-tx/w9kdzhl/,https://www.maac.com/texas/dallas/maa-katy-trail/?utm_medium=ils&utm_source=costar&utm_campaign=listing,Mid America Apartment Communities Inc,
One Dallas Center,https://www.apartments.com/one-dallas-center-dallas-tx/18sm406/,http://www.1dallascenterapartments.com/,Lincoln Property Company,
Lofts at Mockingbird Station Apartments,https://www.apartments.com/lofts-at-mockingbird-station-apartments-dallas-tx/h9bz182/,http://www.mockingbirdloftsdallas.com/,Lincoln Property Company,BetterBot
Windsor Turtle Creek,https://www.apartments.com/windsor-turtle-creek-dallas-tx/w336jgj/,https://www.windsorturtlecreek.com/,Gid Investment Advisors Llc,text us
The Caruth Premier Townhome Apartments,https://www.apartments.com/the-caruth-premier-townhome-apartments-dallas-tx/b9ncpe8/,http://www.thecaruth.com/,Lincoln Property Company,
Victory Place,https://www.apartments.com/victory-place-dallas-tx/k88b8gc/,http://www.victoryplacedallas.com/victory-place-dallas-tx,Lincoln Property Company,
The Lookout,https://www.apartments.com/the-lookout-dallas-tx/jt0ddp7/,https://www.lookoutapts.com/,Hilltop Residential,
Modera Howell,https://www.apartments.com/modera-howell-dallas-tx/s0v3nh4/,https://www.moderahowell.com/switch_cls[id]=65540/?utm_source=Apartments.com&utm_content=Listing,Mill Creek Residential Trust Llc,N/A
Jefferson Gallery House,https://www.apartments.com/jefferson-gallery-house-dallas-tx/cc8dc1d/,https://www.jeffersongalleryhouse.com/?utm_source=apartments.com&utm_medium=referral&utm_campaign=diamond&UTM_Knock=apr,Zrs Management,LeaseHawk
Advenir on Addison,https://www.apartments.com/advenir-on-addison-dallas-tx/g8l97lw/,http://advenironaddison.com/,Advenir Inc,N/A
MAA North Hall,https://www.apartments.com/maa-north-hall-dallas-tx/t8czm68/,https://www.maac.com/texas/dallas/maa-north-hall/?utm_medium=ils&utm_source=costar&utm_campaign=listing,Mid America Apartment Communities Inc,
MAA Worthington,https://www.apartments.com/maa-worthington-dallas-tx/qms8r5x/,https://www.maac.com/texas/dallas/maa-worthington/?utm_medium=ils&utm_source=costar&utm_campaign=listing,Mid America Apartment Communities Inc,
Axis Kessler Park,https://www.apartments.com/axis-kessler-park-dallas-tx/b3bhg88/,https://www.axiskesslerpark.com/,,text us
State Thomas Ravello,https://www.apartments.com/state-thomas-ravello-dallas-tx/fynghyv/,https://www.gables.com/communities/texas/dallas/state-thomas-ravello/?utm_knock=a,Clarion Partners,
The Vista,https://www.apartments.com/the-vista-dallas-tx/2h29d39/,http://www.vistadallas.com/?utm_source=costar&utm_medium=referral&utm_campaign=ils,The Tipton Group,
The ICON at Ross,https://www.apartments.com/the-icon-at-ross-dallas-tx/gt699rw/,http://www.simpsonpropertygroup.com/apartments/dallas-texas/icon-at-ross-dallas?vrurl=apartments.com,Simpson Housing,text us
Loft and Row,https://www.apartments.com/loft-and-row-dallas-tx/7meszzz/,http://www.loftrowdallastx.com/,Lincoln Property Company,
1900 Pacific Residences,https://www.apartments.com/1900-pacific-residences-dallas-tx/pk8087v/,https://www.1900pacific.com/?utm_knock=costar,Rpm,Knockbot
Alta Midtown Park,https://www.apartments.com/alta-midtown-park-dallas-tx/p6bshvv/,http://altamidtownpark.com/,Wood Partners,PERQ
SKYE of Turtle Creek,https://www.apartments.com/skye-of-turtle-creek-dallas-tx/1zwr0c6/,https://www.skyeofturtlecreek.com/ilm=costa,Greystar Real Estate Partners,Realpage
555 Ross,https://www.apartments.com/555-ross-dallas-tx/psmxgmv/,https://www.555rossave.com/?ilm=costar,Greystar Real Estate Partners,
Century Lake Highlands,https://www.apartments.com/century-lake-highlands-dallas-tx/cdbn2vf/,https://www.centurylakehighlands.com/?utm_knock=a,First Communities Management,Knockbot
La Costa Villas,https://www.apartments.com/la-costa-villas-dallas-tx/50n6n2q/,http://www.lacosta-villas.com/,,text us
Gables Republic Tower,https://www.apartments.com/gables-republic-tower-dallas-tx/9k62tv6/,https://www.gables.com/communities/texas/dallas/gables-republic-tower/?utm_knock=a,Clarion Partners,
Zang Triangle,https://www.apartments.com/zang-triangle-dallas-tx/yn6g90v/,https://venterraliving.com/apartments/zang-triangle?id=TX4ZAAPT,Venterra Realty Management,Rentgrata
The Taylor,https://www.apartments.com/the-taylor-dallas-tx/dnphe9h/,https://tayloruptown.com/,Lincoln Property Company,
4600 Ross,https://www.apartments.com/4600-ross-dallas-tx/8sx3zq3/,http://www.4600ross.com/?utm_source=Apartments.com&utm_medium=ILS,Pinnacle Property Management Services Llc,
West Love,https://www.apartments.com/west-love-dallas-tx/6xp6grv/,http://www.westlove.com/?utm_source=Costar&utm_medium=ILS,Bell Partners Inc,
Butler Brothers Building,https://www.apartments.com/butler-brothers-building-dallas-tx/vgkqnzd/,http://www.butlerbrothersbuilding.com/,Alpha Barnes Real Estate Services,N/A
Eastline Residences,https://www.apartments.com/eastline-residences-dallas-tx/xzef4dn/,https://www.eastlineresidences.com/?ilm=costar,Greystar Real Estate Partners,Realpage
West Mockingbird,https://www.apartments.com/west-mockingbird-dallas-tx/8d4xve0/,https://www.jeffersonmockingbird.com/?utm_source=Costar&utm_medium=ILS,Bell Partners Inc,
Manor House Apartments,https://www.apartments.com/manor-house-apartments-dallas-tx/y8frjwv/,https://www.hgliving.com/apartments/tx/dallas/manor-house/?utm_knock=a,Harbor Group International Llc,
Parc At White Rock,https://www.apartments.com/parc-at-white-rock-dallas-tx/8cm0br0/,http://www.parcatwhiterock.com/,The Richman Group Of Companies,Knockbot
Preston Hollow Village,https://www.apartments.com/preston-hollow-village-dallas-tx/sj16ez6/,http://prestonhollowvillage.com/,Lincoln Property Company,
Mockingbird Flats,https://www.apartments.com/mockingbird-flats-dallas-tx/dbv82ph/,https://www.mockingbirdflats.com/?utm_source=Apartments.com&utm_medium=ILS,Waterton,
Carrara at Cole,https://www.apartments.com/carrara-at-cole-dallas-tx/bvj36hb/,https://www.carraraatcole.com/?utm_knock=a,Knightvest Management,Knockbot
Century Medical District,https://www.apartments.com/century-medical-district-dallas-tx/6jqhj6s/,https://www.centurymedicaldistrict.com/?utm_knock=a,First Communities Management,Knockbot
Everra Midtown Park,https://www.apartments.com/everra-midtown-park-dallas-tx/08r8ed3/,http://www.everramidtownpark.com/,Waypoint Residential Llc,text us
THIRTY377,https://www.apartments.com/thirty377-dallas-tx/3ysndrf/,https://www.udr.com/dallas-apartments/uptown-dallas/thirty377/,Udr Inc,LeaseHawk
Landmark at Gleneagles Apartment Homes,https://www.apartments.com/landmark-at-gleneagles-apartment-homes-dallas-tx/vnwh3kg/,http://www.landmarkatgleneagles.com/,Starwood Capital Group,Knockbot
Alta Design District,https://www.apartments.com/alta-design-district-dallas-tx/88c3qr0/,http://www.altadesigndistrict.com/,Wood Partners,PERQ
THE ARTS,https://www.apartments.com/the-arts-dallas-tx/gsq45by/,http://www.theartsapts.com/,Morgan,LeaseHawk
LTV Tower Apartments,https://www.apartments.com/ltv-tower-apartments-dallas-tx/llxxxee/,https://www.ltvtowerapartments.com/?utm_source=Apartmentscom&utm_medium=ILS&utm_campaign=AptscomDiamond,Hri Properties,
The Jordan by Windsor,https://www.apartments.com/the-jordan-by-windsor-dallas-tx/4ed2wpk/,https://www.thejordanbywindsor.com/,Gid Investment Advisors Llc,text us
The Avery on Southwestern,https://www.apartments.com/the-avery-on-southwestern-dallas-tx/dq3lmqj/,http://www.averydallas.com/,Greystar Real Estate Partners,Realpage
Winsted at White Rock,https://www.apartments.com/winsted-at-white-rock-dallas-tx/bre6ndc/,http://www.winstedatwhiterock.com/,Greystar Real Estate Partners,Respage
Modena,https://www.apartments.com/modena-dallas-tx/swsf6n5/,https://www.modenadallas.com/,The Tipton Group,
Vance at Bishop Union,https://www.apartments.com/vance-at-bishop-union-dallas-tx/nv3pp3q/,http://www.vanceatbishopunion.com/?utm_knock=costar,Rpm,Knockbot
Elan City Centre,https://www.apartments.com/elan-city-centre-dallas-tx/cdqvvee/,http://www.elancitycentre.com/,Greystar Real Estate Partners,
Lennox West Village,https://www.apartments.com/lennox-west-village-dallas-tx/vej82xg/,http://lennoxwestvillage.com/?switch_cls[id]=96146,Rangewater Real Estate,N/A
Villa Piana Apartments,https://www.apartments.com/villa-piana-apartments-dallas-tx/0zx2rd1/,https://www.richdale.apartments/villa-piana-apartments/index.aspx?utm_knock=costar,Slosburg Company,Knockbot
HAVEN AT LAKE HIGHLANDS,https://www.apartments.com/haven-at-lake-highlands-dallas-tx/2y2bn38/,https://www.havenlakehighlands.com/?utm_knock=a,Fpi Management,Knockbot
Pike West Commerce,https://www.apartments.com/pike-west-commerce-dallas-tx/kq17xlb/,https://www.pikewest.com/,B M Management,
Cortland Good Latimer,https://www.apartments.com/cortland-good-latimer-dallas-tx/4tgqgsl/,https://cortland.com/apartments/cortland-good-latimer/,Cortland,
Bell Knox District,https://www.apartments.com/bell-knox-district-dallas-tx/rgxyr11/,https://www.bellknoxdistrict.com/?utm_source=Costar&utm_medium=ILS,Bell Partners Inc,BetterBot
Inwood Station Apartments,https://www.apartments.com/inwood-station-apartments-dallas-tx/l7z60vd/,https://www.inwoodstationapartments.com/,Calstrs,text us
The Hudson Dallas Apartments,https://www.apartments.com/the-hudson-dallas-apartments-dallas-tx/27jmfmc/,http://www.thehudsondallas.com/?utm_source=costar&utm_medium=referral&utm_campaign=ils,Cottonwood Residential,N/A
Gramercy on the Park,https://www.apartments.com/gramercy-on-the-park-dallas-tx/bwmgeb9/,https://www.gramercyonthepark.com/?utm_source=Apartments.com&utm_medium=ILS,Waterton,
The Regent,https://www.apartments.com/the-regent-dallas-tx/wtc1ryh/,https://www.alapts.com/apartments/tx/dallas/the-regent/,American Landmark,
Marquis on Gaston,https://www.apartments.com/marquis-on-gaston-dallas-tx/8nm7b03/,https://www.cwsapartments.com/apartments/tx/dallas/marquis-gaston/?utm_source=CoStar&utm_medium=Referral,Cws Capital Partners Llc,
Tonti Lakeside,https://www.apartments.com/tonti-lakeside-dallas-tx/dcfkq0l/,http://www.tonti-lakeside.com/,Tonti Properties,
The Brownstones,https://www.apartments.com/the-brownstones-dallas-tx/1d01d24/,http://www.thebrownstonesapts.com/,Fath Properties,text us
Vibe Medical District,https://www.apartments.com/vibe-medical-district-dallas-tx/kzhc3y8/,http://www.vibe-apts.com/,Greystar Real Estate Partners,
Cortland Bryan Place,https://www.apartments.com/cortland-bryan-place-dallas-tx/sesb4l5/,https://cortland.com/apartments/cortland-bryan-place/,Cortland,
Village On The Green,https://www.apartments.com/village-on-the-green-dallas-tx/xlsxrbn/,https://livevillageonthegreen.com/?utm_knock=a,S2 Capital Llc,Knockbot
Crest at Park Central,https://www.apartments.com/crest-at-park-central-dallas-tx/pedmzer/,https://crestatparkcentral.com/?utm_source=Apartments.com&utm_medium=ad&utm_campaign=referral,Bh Management Services Llc,N/A
District at Greenville Apartments,https://www.apartments.com/district-at-greenville-apartments-dallas-tx/50t3xjm/,http://www.districtatgreenvilleliving.com/,Valiant Residential,Knockbot
MAA McKinney Avenue,https://www.apartments.com/maa-mckinney-avenue-dallas-tx/8y9mnx1/,https://www.maac.com/texas/dallas/maa-mckinney-avenue/?utm_medium=ils&utm_source=costar&utm_campaign=listing,Mid America Apartment Communities Inc,
Sutton Place,https://www.apartments.com/sutton-place-dallas-tx/glxhx6y/,https://www.suttonplaceliving.com/,Atlantic Pacific Companies,
Woodbridge,https://www.apartments.com/woodbridge-dallas-tx/b9bxwl9/,https://www.woodbridgeapartmenthomes.com/,Fath Properties,text us
Atera Apartments,https://www.apartments.com/atera-apartments-dallas-tx/t61whyb/,https://bhmanagement.com/communities/atera-apartments/?utm_source=Apartments.com&utm_medium=ad&utm_campaign=referral,Bh Management Services Llc,Respage
Westerly,https://www.apartments.com/westerly-dallas-tx/8mnl1l2/,https://www.westerlydallas.com/?switch_cls[id]/94845/,Greystar Real Estate Partners,
Rancho Palisades,https://www.apartments.com/rancho-palisades-dallas-tx/e45k5tp/,http://ranchopalisades.rentanapt.com/?utm_knock=a,Frankel Family Trust,
The Pavilions,https://www.apartments.com/the-pavilions-dallas-tx/g8qkemz/,http://www.pavilionsatvantagepoint.com/,Lincoln Property Company,
Locale,https://www.apartments.com/locale-dallas-tx/q49jq4y/,https://www.liveatlocale.com/?utm_knock=costar&utm_source=apts&utm_medium=ils,Magnolia Capital,Knockbot
4343 at the Parkway,https://www.apartments.com/4343-at-the-parkway-dallas-tx/02l1hh2/,http://www.4343parkway.com/,Noel Management Company,
VV and M,https://www.apartments.com/vv-and-m-dallas-tx/jepx9l6/,https://www.steadfastliving.com/Apartments-In/Dallas-TX/VV-and-M?utm_source=CoStar-Apartments&utm_medium=listings,Star Reit Services Llc,
Muse at Midtown,https://www.apartments.com/muse-at-midtown-dallas-tx/xmg3z4m/,http://www.musemidtown.com/?utm_knock=costar,Portico Property Management,Knockbot
75 West,https://www.apartments.com/75-west-dallas-tx/40s20kj/,https://www.live75west.com/?ilm=costar,Greystar Real Estate Partners,Realpage
Paxton at Lake Highlands,https://www.apartments.com/paxton-at-lake-highlands-dallas-tx/9fbhgd7/,https://www.paxtonliving.com/?utm_source=Apartments.com&utm_medium=ILS,Pinnacle Property Management Services Llc,
Yorktown Luxury Apartments,https://www.apartments.com/yorktown-luxury-apartments-dallas-tx/43l72kh/,http://www.liveatyorktown.com/?utm_source=Apartments.com&utm_medium=ILS,Pinnacle Property Management Services Llc,
North End,https://www.apartments.com/north-end-dallas-tx/q3v9xgy/,https://northenddallas.com/?utm_knock=costar,Rpm,Knockbot
Churchill on the Park,https://www.apartments.com/churchill-on-the-park-dallas-tx/khwy3tc/,http://www.churchillonthepark.com/?utm_source=Apartments.com&utm_medium=ILS,Pinnacle Property Management Services Llc,
4123 Cedar Springs,https://www.apartments.com/4123-cedar-springs-dallas-tx/bb4hg29/,https://venterraliving.com/apartments/4123-cedar-springs/?id=TX4ILAPT,Venterra Realty Management,Rentgrata
Inwood On The Park,https://www.apartments.com/inwood-on-the-park-dallas-tx/g6gzvyy/,http://www.inwoodonthepark.com/,Sunchase American,
